frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
33, 0, 1.280, 0.98, 1, 0.45, 0.45, 1.16, 0.36, -0.36, 0.14, -0.10, -0.60, -0.09, 0.08, -0.00, 0.63, 0.98, 0.37, -0.18, 0.95, 1.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
34, 0, 1.320, 0.98, 1, 0.64, 0.71, 1.53, 0.34, -0.51, 0.14, -0.06, -0.92, -0.28, 0.34, -0.30, 0.29, 0.74, 0.23, 0.39, 1.53, 1.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
35, 0, 1.360, 0.98, 1, 0.53, 0.75, 1.53, 0.46, -0.52, 0.36, -0.04, -0.83, -0.31, 0.15, -0.20, 0.44, 0.94, 0.39, 0.74, 1.47, 1.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0
36, 0, 1.400, 0.98, 1, 0.49, 0.20, 1.71, 0.48, -0.68, 0.40, -0.29, -0.82, -0.39, -0.09, 0.06, 0.68, 1.09, 0.52, 1.03, 1.25, 0.65, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
37, 0, 1.440, 0.98, 1, 0.40, 0.09, 1.53, 0.45, -0.60, 0.02, -0.21, -0.92, -0.26, -0.23, -0.10, 0.69, 1.05, 0.60, 0.81, 0.98, 0.95, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
38, 0, 1.480, 0.98, 1, 0.38, 0.16, 1.54, 0.42, -0.61, -0.02, -0.19, -0.89, -0.30, -0.31, 0.00, 0.68, 1.04, 0.63, 0.79, 1.03, 0.85, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
39, 0, 1.520, 0.98, 1, 0.37, -0.04, 1.50, 0.62, -0.63, 0.04, -0.15, -0.84, -0.31, -0.27, 0.03, 0.73, 0.99, 0.73, 0.84, 0.93, 0.91, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 0, 1.560, 0.98, 1, 0.31, 0.11, 1.25, 0.22, -0.72, 0.16, 0.03, -0.51, -0.11, -0.39, 0.59, 1.05, 0.37, 1.12, -0.25, 0.58, 0.43, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
41, 0, 1.600, 0.98, 1, -0.33, -0.23, 0.78, 0.55, -0.69, -0.19, -0.06, -0.84, 0.04, 0.20, -0.02, 1.22, 0.73, 1.68, -0.48, 0.28, -0.05, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
42, 0, 1.640, 0.98, 1, -0.27, -0.29, 0.84, 0.53, -0.67, -0.19, -0.01, -0.71, 0.06, 0.24, 0.03, 1.25, 0.74, 1.64, -0.52, 0.27, -0.02, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
